Broker,Cloudlet ID,VM ID,Execution Time,Start Time,Finish Time
DatacenterBrokerHeuristic,24,3,64,0,64
DatacenterBrokerHeuristic,47,1,37,33,70
DatacenterBrokerHeuristic,37,3,70,0,70
DatacenterBrokerHeuristic,48,0,25,46,71
DatacenterBrokerHeuristic,11,3,79,0,79
DatacenterBrokerHeuristic,74,14,28,55,83
DatacenterBrokerHeuristic,95,2,34,52,86
DatacenterBrokerHeuristic,30,0,30,71,101
DatacenterBrokerHeuristic,35,0,27,101,128
DatacenterBrokerHeuristic,61,7,71,61,132
DatacenterBrokerHeuristic,94,5,134,0,134
DatacenterBrokerHeuristic,60,3,76,64,140
DatacenterBrokerHeuristic,85,3,67,79,146
DatacenterBrokerHeuristic,93,0,24,128,152
DatacenterBrokerHeuristic,88,5,158,0,158
DatacenterBrokerHeuristic,99,7,55,132,187
DatacenterBrokerHeuristic,78,3,80,140,220
DatacenterBrokerHeuristic,72,3,66,220,287
DatacenterBrokerHeuristic,53,10,335,0,335
DatacenterBrokerHeuristic,84,3,88,287,375
DatacenterBrokerHeuristic,75,10,310,335,645
